Year,Case Vehicle ID,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make,Contributing Factor 1,Contributing Factor 1 Description,Contributing Factor 2,Contributing Factor 2 Description,Event Type,Partial VIN
2016,13366773,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Backing,Not Entered,South,Gas,2004,NY,1,4,VOLKS,HUMAN,Backing Unsafely,HUMAN,Not Applicable,Not Applicable,3VWRA69M14M044862
2016,13366774,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Parked,Not Entered,East,Gas,2011,NY,0,6,FORD,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,3FAHP0CG7BR260914
2016,13366775,SUBURBAN,PASSENGER OR SUBURBAN,Backing,Not Entered,South,Gas,2015,NY,1,4,GMC,HUMAN,Driver Inattention/Distraction*,HUMAN,Backing Unsafely,Not Applicable,2GKFLXEK1F6211961
2016,13366784,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2015,NY,1,6,NISSA,HUMAN,Failure to Yield Right-of-Way,HUMAN,Driver Inattention/Distraction*,Not Applicable,5N1AR2MM1FC691755
2016,13366785,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2010,NY,1,6,CHEVR,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1G1ZE5E78A4134673
2016,13366786,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,South,Gas,2009,NY,1,4,HYUND,HUMAN,Turning Improperly,HUMAN,Driver Inattention/Distraction*,Not Applicable,KMHDU46D19U653901
2016,13366793,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,West,Gas,2013,NY,1,6,HYUND,HUMAN,Failure to Yield Right-of-Way,HUMAN,Driver Inattention/Distraction*,Not Applicable,KMHGC4DD6DU213491
2016,13366794,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Diesel,2003,NY,1,4,VOLKS,HUMAN,Driver Inattention/Distraction*,HUMAN,Not Applicable,Not Applicable,9BWBP61JX34010083
2016,13366795,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,2013,NY,1,6,FORD,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1FAHP2F82DG102250
2016,13366796,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2003,NY,1,4,FORD,ENVMT,Obstruction/ Debris,HUMAN,Not Applicable,Not Applicable,1FAFP34Z33W269567
2016,13366799,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2003,NY,1,6,JEEP,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,1J4GW48S13C611839
